,BTC-USD,ETH-USD,BNB-USD,XRP-USD,ADA-USD,DOGE-USD,TRX-USD,ETC-USD,LTC-USD,LINK-USD,XLM-USD,XMR-USD,BCH-USD,VET-USD,FIL-USD,EOS-USD,XTZ-USD,MANA-USD,QNT-USD,THETA-USD,KCS-USD,ZEC-USD,MIOTA-USD,HT-USD,MKR-USD,NEO-USD,SNX-USD,NEXO-USD,ENJ-USD,BAT-USD,DASH-USD,WAVES-USD,ZIL-USD,RVN-USD,LRC-USD,BTG-USD,XEM-USD,DCR-USD,HOT1-USD,CEL-USD,GNO-USD,XDC-USD,QTUM-USD,GLM-USD,IOTX-USD,RPL-USD,FLUX-USD,OMG-USD,ZRX-USD,IOST-USD,ICX-USD,ONT-USD,VGX-USD,STORJ-USD,WAXP-USD,SC-USD,POLY-USD,ZEN-USD,CHSB-USD,ERG-USD,DGB-USD,CVC-USD,MED-USD,LSK-USD,EURS-USD,SYS-USD,CEEK-USD,MAID-USD,REN-USD,XNO-USD,ONG1-USD,MVL-USD,REQ-USD,SNT-USD,ARDR-USD,RLC-USD,QKC-USD,UQC-USD,POWR-USD,XYO-USD,DENT-USD,NMR-USD,TEL-USD,BNT-USD,DAG-USD,STEEM-USD,FUN-USD,REP-USD,VERI-USD,REV1-USD,STRAX-USD,ADS-USD,MTL-USD,STMX-USD,LOOM-USD,XWC-USD,ELF-USD,TRAC-USD,ANT-USD,VTHO-USD,NKN-USD,IQ-USD,AGIX-USD,PRO-USD,ARK-USD,XVG-USD,UTK-USD,MFT-USD,ETN-USD,DERO-USD,CXO-USD,GXC-USD,TIME-USD,TOMO-USD,MLN-USD,CENNZ-USD,AVA-USD,WAN-USD,KMD-USD,FIRO-USD,BMX-USD,MOC-USD,RFR-USD,BTS-USD,ELA-USD,BCD-USD,MONA-USD,SBD-USD,AOG-USD,PRE-USD,UPP-USD,PIVX-USD,BLZ-USD
BTC-USD,1.0,0.8327274946320753,0.7101183639156966,0.5273197533426707,0.6459024785567319,0.415487081819032,0.6631346931199089,0.6471634311139548,0.7837280552443507,0.6105991282079333,0.6238991362120166,0.7646033443184262,0.7970921940196903,0.6730209693031476,0.47091305341050516,0.714227965650435,0.5847094307278592,0.5162603929998207,0.4612150350965842,0.5995394498398511,0.5581924007609391,0.7097602300115959,0.6951698836676106,0.6179622948691869,0.6266414327004148,0.7436234001939407,0.43752750170710475,0.5414326708186833,0.5136648313014577,0.5779873230360224,0.7484360038803177,0.48204995102929493,0.6604262753061949,0.5824752499841332,0.5610460477495677,0.6822836622188703,0.5356491479489938,0.7475733089768709,0.6240639242131294,0.40585949844357333,0.6605618912922789,0.3617322709396881,0.7003619072832691,0.652808779959154,0.5235384516506895,0.4667099547859995,0.4004018887247277,0.6223192589263928,0.6136906658308223,0.6478917280959625,0.667391493492763,0.7396256665749663,0.4288003697746069,0.49444786737726604,0.5203494912612318,0.6724922559492151,0.6144454454975924,0.6393443562286898,0.5105773417712953,0.30283340694272715,0.6859849591613975,0.6127919918742964,0.38998066591048514,0.6592010559324374,0.25785112870008065,0.5626669616974297,0.3736923940839,0.5537286820173701,0.5679849452588984,0.6491735626688871,0.45897731606409675,0.4296685064448926,0.5263218384582121,0.6626701854436482,0.6571851334056513,0.5410724676265084,0.5268375569233157,0.4747041685244609,0.5576519017592453,0.23303436574773004,0.6346258207435849,0.3866187267529144,0.4794095245125812,0.6863642545141806,0.45392720678789344,0.626209943796575,0.5592058785080878,0.5928685348576247,0.3538580308381369,0.32002049836964197,0.561353793548752,0.4155536858171747,0.4418672737668043,0.5590816557827091,0.5565572373345754,0.2966513629106735,0.6376725940622284,0.5197238290229909,0.5788554039524748,0.533078447199481,0.5364469314444978,0.5489798167695523,0.572553595485372,0.4332925675266033,0.6288455111347362,0.7253055008681971,0.5723958614601407,0.5315309997579005,0.459328924387537,0.44411879322101655,0.4158699480508001,0.3694072271503717,0.34497986176381434,0.5496373227951569,0.4079711782794954,0.26210934791361856,0.4694120491982483,0.6243008818974718,0.5716216662758591,0.6297350036298375,0.36695061986072736,0.3791903138804791,0.29612870159389243,0.6561349678449778,0.5844089324807947,0.5760581907772864,0.5504141672768975,0.42686850447853397,0.21748543305214274,0.27919505430571795,0.42329135285933495,0.5904686941893388,0.6294167070506579
ETH-USD,0.8327274946320753,1.0,0.7119153916582426,0.5708824519527712,0.733070097691496,0.46410719069391326,0.69656548775136,0.7421120769368785,0.8144877439709892,0.6806223757914768,0.7003809616929251,0.7671705861432225,0.8196186308857211,0.7173826233366206,0.46781581521906734,0.7957120031138595,0.6748843405897058,0.5604457253993023,0.4850913914824571,0.5849722758196091,0.5156476614684602,0.7473883143684383,0.7616987334525515,0.6327567762853167,0.7373063278775911,0.764394661385616,0.4827274408818814,0.5971637924908267,0.5337530798249485,0.6313141673997089,0.7546114581462876,0.5813038947192647,0.67679745058566,0.5425674021728351,0.6038097952187356,0.6480021074655096,0.5795699391787467,0.7023187040212042,0.5899949917995302,0.4854432573236771,0.756206204876197,0.45761750378620075,0.7706376515278558,0.653416117861791,0.519847766168772,0.48534379084940377,0.43151410496209575,0.6943610244835178,0.6615079494067095,0.6414229112902258,0.693404182548403,0.7537161811866975,0.46783181557877873,0.5406445169549114,0.5187381210685214,0.6815467315770385,0.6244447778554191,0.6874686858012535,0.45147359548869553,0.3433680917723023,0.6836740735435288,0.6315443257145128,0.39305762505688807,0.6809070101311253,0.3560304697207262,0.6235150894276273,0.3375115867077842,0.5840385804062816,0.6046982233393737,0.7048562699449606,0.4728323588056473,0.3692298557386003,0.5308765117783609,0.7236593779410585,0.6874689105545114,0.5899073331367312,0.5170985490644745,0.4823218148228705,0.6215734906835789,0.2897208293895664,0.6137987543017375,0.4247316077183359,0.5289204729043229,0.724602854581057,0.433666626804033,0.6506979605110215,0.62556829188831,0.6118183452385961,0.35801644433506363,0.4244844321352056,0.5961307498313786,0.4172801749800504,0.5051955369260928,0.5700578206368416,0.6051467580716714,0.2994018191264487,0.68233875621616,0.5730294942251245,0.6278889669628519,0.5141561232823137,0.5640891109142263,0.5635742533774598,0.615150200131371,0.44983140887952106,0.660812595848494,0.7667087616343129,0.5780861695638155,0.5544821408023579,0.41366159661070606,0.4115506271088244,0.43332488546948444,0.44705238610405285,0.3755373679132321,0.5950443089092338,0.521801013800682,0.2924288966064576,0.48335718960609886,0.6564242528525362,0.6296422140435144,0.6816743381997755,0.4336658270553203,0.3555753095126125,0.3008955709994731,0.6683422559117588,0.5672689428175837,0.6131832800500637,0.5802508952838756,0.4521450528257936,0.20188356154090195,0.33679476519725426,0.4480000274943008,0.6142280116665617,0.668939990482813
BNB-USD,0.7101183639156966,0.7119153916582426,1.0,0.5436711785738274,0.6394271933505733,0.35375634637632036,0.661490164924363,0.5921348284155193,0.7033991051531787,0.5552235475611377,0.6069059457154334,0.7205882863687102,0.6675179943746741,0.6520282969126628,0.45156176654556424,0.6959616938489283,0.6147117285952701,0.5148668436277584,0.37756189553063235,0.5733317562228484,0.6915523336335762,0.6741902480072536,0.710394177801111,0.7638877457703163,0.5842421004266337,0.6926288461777041,0.3704975715478022,0.564704406091142,0.5564795610242597,0.6377370102317105,0.7303100883632081,0.5037821000171504,0.6017828882807794,0.686089349272195,0.558275159203551,0.6945229817724518,0.5635879315535411,0.6921327665798728,0.664907572582147,0.33812584877943336,0.5975019726480244,0.42998640449106934,0.6766474335968292,0.6430432063735587,0.53649447396855,0.3884291005790859,0.48151428425625187,0.6199645367533697,0.618149304876689,0.6354255737586265,0.672621687112143,0.7094065685193933,0.4277411512750301,0.48822427402097174,0.5120094548061439,0.6056712912862678,0.6091441989331559,0.5908465301426316,0.41046644429215656,0.3302297200603312,0.635586051815568,0.5602472869375915,0.42078041820863354,0.6836215416510876,0.19768395116410084,0.5772987507617755,0.3735403267945438,0.4408062062290881,0.5662540869616136,0.618364279050965,0.44576232764051105,0.3464961393416594,0.5567856999358632,0.6370125881000752,0.6252195043596734,0.492915975598239,0.48812515667916,0.39993654192191125,0.5777454046974981,0.2939525831703031,0.6937196024837086,0.41408010955623836,0.44586762582097395,0.6913556017866924,0.3971474458865889,0.6623828002323239,0.49005396335203055,0.5825318424776356,0.2457170039897848,0.37026243970635964,0.5669554235871386,0.31476277620281856,0.4723840656410482,0.5547802312406516,0.5146880070692492,0.20280461131674918,0.6202453445493415,0.5009926301012312,0.5232315321599281,0.5589766720173805,0.6133339202724032,0.5331924271359175,0.5829615816731509,0.4631174612578451,0.6653555382393962,0.6447403313127166,0.5029095370640669,0.467213079671021,0.4499991935654029,0.4464382302621584,0.46505805025793473,0.4540427829817974,0.2999026539067428,0.5225062046515998,0.4334022376198023,0.23537331126160327,0.4136846269863061,0.6837922132741528,0.6449559442011418,0.6230565578426965,0.379331084227919,0.32902064236382583,0.2671688815773029,0.6168996621062462,0.6062231683738364,0.5458263818691341,0.5078587598385453,0.3903370029952693,0.17785921972791383,0.25647388423380013,0.48573192249183134,0.6618404618163015,0.5829295581235714
XRP-USD,0.5273197533426707,0.5708824519527712,0.5436711785738274,1.0,0.522799605194941,0.4521589579207404,0.5838341504165061,0.6177917074549303,0.6033868844985805,0.493955348449961,0.7637095459785413,0.6089326972381713,0.6268402302617572,0.5647984146632803,0.40545086163331606,0.6698915528620277,0.547256755987447,0.3865233413387524,0.3431178769673628,0.3589208140899962,0.49243604089845533,0.6571832728980773,0.6775956482385386,0.507379217723459,0.44455813784446235,0.6643516050980431,0.33918839635071674,0.43102433671189644,0.42174442152086045,0.5456200576158241,0.6653506424650704,0.520787286124891,0.4822556233489526,0.5156660431142377,0.43587896289605277,0.6763509441368505,0.560661262017041,0.510642390579419,0.4431975269473096,0.24335488632009114,0.4486269302608232,0.3870458519232695,0.6765475734467883,0.4584632159092772,0.5051619702494694,0.3887560015735299,0.3696155951313912,0.5594270649575358,0.5473116684139365,0.5016216146431834,0.5420283190155291,0.6461461360146863,0.45165423962927626,0.43330569224379356,0.36901115212513735,0.5854972315643637,0.3737437566835294,0.570742861401844,0.33877554162818735,0.23363810297049598,0.5209778613338124,0.4820074371272936,0.28304957583316437,0.6042860422381979,0.10054324585761049,0.588458114138489,0.24120185493035046,0.4558492679363676,0.4239161003018483,0.5886698577400685,0.38797348080402283,0.27203083237995856,0.4751034962834792,0.6392845497353005,0.5159079133027744,0.4051207763401017,0.38116347493744107,0.27189449606999233,0.443932530362541,0.24515103362871798,0.573112740578274,0.3532007839589477,0.30691136369462124,0.47836291838142747,0.4142622435576954,0.5344295654967104,0.41533189527909803,0.5154300949250092,0.2029074712188162,0.39179832475030246,0.5823443978011119,0.36084095901250207,0.3201591635183599,0.42752824642182463,0.4252504692081577,0.1687428219160207,0.5039996273213043,0.3454010346450519,0.44689067708176144,0.491626368446144,0.5370627840093847,0.3157817800662147,0.48183156990149134,0.493361093621962,0.47513101047729434,0.6379368380992645,0.4955723623251497,0.38178703120737834,0.39910995693337536,0.33218643002929693,0.4574805747000805,0.37245255566738894,0.2279780592927896,0.40530025138414133,0.39533555617636196,0.22440074518174033,0.37089909433427093,0.6146522189534976,0.6046317297949109,0.6051778388006889,0.35246841551796504,0.23196727014067262,0.19390714659431005,0.638943349666802,0.5753079941741539,0.587813757810088,0.5349336245513782,0.33988744200489884,0.09848481500322803,0.3442064428170865,0.2851242362710988,0.6013726916245242,0.5815877596665497
ADA-USD,0.6459024785567319,0.733070097691496,0.6394271933505733,0.522799605194941,1.0,0.4563801119447558,0.6136694312993085,0.6295519502707784,0.6760032269858498,0.5907552714942387,0.7502526631449995,0.6654103156731331,0.696730034322994,0.6745106902263162,0.39785998728253513,0.6882936501375068,0.6142772235963289,0.4454475909222324,0.41538886214940934,0.5057787901813324,0.47935613950254097,0.6496122984985236,0.736127602103212,0.5287496653563458,0.6631415476716496,0.6638510295899652,0.4200639157696804,0.5672783998689254,0.4762578488721478,0.5987039001513552,0.6806184276224573,0.5360136450400388,0.640198327945581,0.5670498117257246,0.5750319798421469,0.5742383271917897,0.5799876335945756,0.6299269999386554,0.5022768134227994,0.4209128713198109,0.5474511212728568,0.44384745656387303,0.684431210237289,0.592028526748609,0.516273457230639,0.35432962991758327,0.44646988211445754,0.6173702770598356,0.6409516179719646,0.6736866497737208,0.6585587051954804,0.7032109139927657,0.4727882708892335,0.465358508401996,0.4347497285994203,0.5997136712989647,0.5569609698269332,0.606742809438613,0.42750338166736407,0.45459912369452427,0.5985426041348512,0.5581699117810665,0.3436910906501483,0.6163411815082176,0.24585439383915175,0.5753321904839405,0.21830444259826504,0.4395463590726183,0.5521766463608666,0.6871102104747454,0.43837892244257404,0.3125479373502367,0.5421240875829085,0.6922221306006929,0.5668012904448986,0.5219733316473357,0.4623335216312654,0.3910828277648783,0.5273470699618066,0.1794569171228881,0.5860012962614052,0.42513168076456204,0.5899845148467365,0.6418604552359702,0.4619491306877267,0.6052848645215089,0.5941133198690558,0.5573727783829281,0.3226753577711648,0.4898938376216166,0.5418176331289221,0.3286807930112761,0.46527207103847,0.5803895541921834,0.4693935629645306,0.20694898556988373,0.5889759499312199,0.5295676585549248,0.5216914029370837,0.531334622995782,0.48917131418856075,0.47961206340309986,0.6237198583844922,0.3971013659364072,0.5903198185051489,0.6447673465018274,0.5255283128275576,0.5205868746124298,0.39694652530357866,0.4007212850112701,0.31856336265715035,0.36194055930338254,0.2424244745423391,0.5564424784837717,0.4120795246731784,0.29770510707150244,0.4289640461615486,0.6067206913521809,0.5592363207092235,0.6247956455043359,0.39194234608066036,0.29810167294889994,0.26025675975327056,0.5630415001377203,0.5293698911729294,0.5387045037809871,0.5101120641294183,0.4182137424981517,0.24711828599979999,0.24051709186431486,0.43571624842461437,0.58575331973107,0.5941927237062098
DOGE-USD,0.415487081819032,0.46410719069391326,0.35375634637632036,0.4521589579207404,0.4563801119447558,1.0,0.3958563913043862,0.5286103692486344,0.47436804666491905,0.3439439879947444,0.4088770684464603,0.3602466943599357,0.48018626505163664,0.5014399442032849,0.16829549344647052,0.4659683082511739,0.3072505890359887,0.31580932232294007,0.23692348134377042,0.3568646064234786,0.19635143518490655,0.36517117538665356,0.4111756011917579,0.3423455808227603,0.42936247386876053,0.48144771168914496,0.24579596964440556,0.43246717326156386,0.1998052955286035,0.32611334694342087,0.37996601918029993,0.25305304936230477,0.35771809986202746,0.3315932349969802,0.3955994860129584,0.2922396872153016,0.3234567079675805,0.48654538233430744,0.29220789057440033,0.24583684297395067,0.34624570712117964,0.23342499269122705,0.46536106150426837,0.24447413434488632,0.32108782515046824,0.22947373201424778,0.14116947859942022,0.346106813551093,0.4320601953341169,0.34200492748685357,0.3516719371986025,0.4347502877660795,0.2679868821962919,0.23578748252897697,0.1680326549717664,0.5974807031945243,0.22639603298607355,0.421299119775878,0.40276559294195047,0.232009440007397,0.49354888419094256,0.2718346077574671,0.06659162571184064,0.3279836950360497,0.17144911035119723,0.33145696021936627,0.09688430509044249,0.25954983966921213,0.3151808534203556,0.5314105444779914,0.21041962418615612,0.13004995357368304,0.3203092637299945,0.42321497907519035,0.26111665953478685,0.2955504615751614,0.2890342777910577,0.2803423386815403,0.21189304519921326,0.07280885322762498,0.2721143113329009,0.22520009605736707,0.4318480754810233,0.337437309133671,0.2756964257195345,0.27483516262469676,0.4475748069267188,0.3186928022061575,0.24308763768679978,0.24277980076088482,0.3450008000979185,0.33528678837011566,0.201878691336476,0.34499113342369037,0.2007404241458254,0.08635960153748659,0.2593995800494538,0.2060956931445613,0.27727240721807167,0.30611171089623634,0.2774227621552833,0.36584149338159894,0.24818232528765446,0.3510828575784047,0.2470352830634411,0.5159031480693618,0.3721528822037018,0.3925138363160537,0.1621270272783073,0.13399825450840377,0.2253238162773275,0.16657979121667474,0.14917517533674246,0.26182725191563977,0.20588752128669655,0.09156572440418655,0.14383811492926504,0.2945301179387096,0.2949253990239961,0.35113966748807135,0.23983468343962536,0.10405607344063351,0.09976068008172646,0.4598949993385411,0.281157876587788,0.389664764476814,0.353257487806209,0.16704984834998132,0.08595108558777967,0.21834287040282838,0.10995649588136566,0.2860364527372303,0.28888713249568676
TRX-USD,0.6631346931199089,0.69656548775136,0.661490164924363,0.5838341504165061,0.6136694312993085,0.3958563913043862,1.0,0.649719240152616,0.6889239955287817,0.5780904256192493,0.6323154780022501,0.6682161408812645,0.7226096423329557,0.6540106459179085,0.4645342262965135,0.7903880588310748,0.6001046085990407,0.4266662777452128,0.4087786446881545,0.4890367391174052,0.47995605693868354,0.6668192512839706,0.7279787406108743,0.571768762286159,0.5479861683702665,0.7611501498508173,0.42779473132915513,0.4827429445954478,0.4144738674128306,0.5634660458256664,0.7089083688933533,0.5521274152008241,0.6570558934889206,0.5372315537819558,0.5702308936570986,0.5910097448335009,0.5748460408521818,0.6031742649305571,0.6793652142725186,0.3298443957183564,0.5979941025673585,0.4362733197086391,0.7374928257493221,0.5486606109492467,0.5498565699637203,0.37498313182569704,0.34973039245575915,0.6529101742037902,0.6122491762836203,0.6458793280263156,0.6830294471907871,0.746425187081343,0.32220385842154536,0.5062920713176298,0.4498386324844733,0.6917298954027552,0.5332762289205134,0.5807622210670433,0.3730737037422281,0.30055200807326327,0.6651139775427716,0.5690758846446295,0.4967111211797741,0.6881929459148812,0.19936561894637514,0.5333710130176371,0.38316990859880334,0.47992433794514916,0.5004049996512311,0.6534789176817588,0.4442430797388882,0.40061341726179583,0.5251036583813692,0.7110586229436492,0.5810886995392064,0.5204171938503435,0.4941456628906016,0.35901152630277244,0.5655320271292544,0.41154639343676525,0.683361605011265,0.5049081689143251,0.37927362233114015,0.5778222868736784,0.4127397095823988,0.6589339213059261,0.5380897613813916,0.5552096855410784,0.26988118156837637,0.3432370493137255,0.6627179652013319,0.44140532608662275,0.5767611816095134,0.5504554998377279,0.5431970336241043,0.24211796130778632,0.6350860714691862,0.4728059195654643,0.5492894996011155,0.5579361417908429,0.5024951050376167,0.5538132949316575,0.5681624594384573,0.43849517187358583,0.6000131109023715,0.7292991642248455,0.5805749812500955,0.49737113595496185,0.46921433764076426,0.38178603299969305,0.3816589964397739,0.35852826870668947,0.30865885842877705,0.5225438046434063,0.48404691375614795,0.3181086536761689,0.3870048832016043,0.7043023571359043,0.6240219608161346,0.6174767072287208,0.36070515355494615,0.34373652136103905,0.3277019469784524,0.7213794391516334,0.5822623296080454,0.5634455913478992,0.583851101509827,0.45249386382774986,0.17079577293673565,0.2476234775596032,0.5055960253362695,0.5932644803569795,0.6115963262336693
ETC-USD,0.6471634311139548,0.7421120769368785,0.5921348284155193,0.6177917074549303,0.6295519502707784,0.5286103692486344,0.649719240152616,1.0,0.7786752128772074,0.54586710768094,0.6704407587562164,0.7048801165722247,0.8167978717075175,0.688027874553445,0.41839158570501567,0.7994620466181359,0.5856737323383893,0.4757919525129538,0.33032016227444194,0.5022544441031189,0.41480532328324804,0.7433593328341394,0.7439679024656056,0.49574339107524773,0.5871386797085855,0.7681038353968532,0.42289309453910195,0.48228531013959686,0.4496224195928137,0.5600645254268676,0.7718143985307875,0.5090316943340261,0.6130611725325326,0.5447381642721226,0.4905386159306453,0.7436312241086559,0.5134014891523739,0.61372141995548,0.492576341889326,0.3960744190638353,0.5697778926808823,0.43827121547447984,0.8110764555768372,0.5284203415455256,0.48700226472446967,0.41880927034736465,0.33485547270383903,0.6504022053239775,0.5559238382188159,0.6117460334875477,0.6441469360538498,0.7457396971033559,0.35982559305361556,0.47059095617809255,0.3945813062173781,0.6504050502440704,0.4868130446633051,0.6559735594596988,0.35622800225466666,0.3328207768839855,0.6384419441021111,0.5571657406377248,0.3091218863772826,0.6930177562806589,0.27775459371055145,0.5503760039727313,0.28270219246486694,0.4272314101359983,0.4360085803826024,0.6902383056176622,0.4389781295104879,0.2514308406720332,0.46327528188581973,0.6884812788032596,0.5712652250025662,0.5853634540857158,0.41751836808182613,0.4386161751688295,0.5004302076990725,0.258291863072787,0.5587775028513495,0.38027295652124926,0.5658551792237103,0.5524172931415229,0.44112054802774336,0.6164239767496706,0.43983010232685904,0.6144375285728397,0.22676583979770254,0.3343345665966646,0.6186684852756604,0.4599035115236459,0.3795913614730971,0.4422973980690001,0.49664509201112117,0.21397928522693607,0.5487869956565492,0.4275896721933941,0.4869335140888289,0.5504660928704007,0.4455382237265373,0.42835247720955694,0.555606132435043,0.4141338184221713,0.5244688681961097,0.7272480050374487,0.5089434015632961,0.3924320717533235,0.4494920650648951,0.2924198154259955,0.3889349554184486,0.3387224699739763,0.2513965672575425,0.490631170449647,0.3717908222490498,0.20119777704669106,0.35980157407879876,0.6589621369728971,0.6132006467638129,0.7071073188207085,0.3215407118257959,0.26941391906344253,0.21240196944461756,0.6491327633947094,0.5308033487170004,0.7773108585621568,0.6223078074165463,0.39215465820403067,0.06647488932577783,0.2429012017371734,0.33693108005487676,0.5703567746436916,0.5553026577370263
LTC-USD,0.7837280552443507,0.8144877439709892,0.7033991051531787,0.6033868844985805,0.6760032269858498,0.47436804666491905,0.6889239955287817,0.7786752128772074,1.0,0.6450002691529815,0.651275105570264,0.753619983745821,0.8366798918442122,0.7219923316814505,0.46969715676707324,0.8361696869511949,0.5774656618027499,0.5225922985740957,0.45789686533556884,0.6280552950817392,0.48459690537234357,0.7432868623342047,0.7744639922116293,0.602312843528347,0.6165980940357942,0.7557982909671012,0.44848976764481496,0.5832437290912498,0.5265145763248366,0.6541737425613793,0.7954146331569428,0.5632742199852904,0.6859979403155627,0.5598377388422447,0.6092111521966945,0.7225583179787463,0.5389111899396594,0.6944617809151259,0.5708881102166264,0.49366842692592827,0.6171582398875015,0.424786290411537,0.7924458104558123,0.5904796219482403,0.5814592220388995,0.4760382481477913,0.4304076642039457,0.6759925159038125,0.62342853483987,0.6221281950423293,0.7209817189843607,0.7798138234886991,0.3620364346008076,0.5300169500699748,0.51199260811812,0.6707109564237548,0.5908514581978673,0.6477231946409715,0.4707386397268771,0.37612304017181275,0.6724295265605402,0.6262467759484066,0.31543176001813045,0.7079643442952263,0.27047681581835437,0.5961914586750763,0.3681527393612987,0.5607978108809928,0.555790781173306,0.6675523080210087,0.4473686634844375,0.31692891624926106,0.5325219015003043,0.6989994461540214,0.6688921930207364,0.5733785511620506,0.5121770122155934,0.44403283647451636,0.5493015941839317,0.2721945809794822,0.6052819255906591,0.44104197420038177,0.5022670460239476,0.6294310583171646,0.4905697645629127,0.6578757328565004,0.519345137153793,0.6403127628502954,0.299035875256843,0.44719657956501135,0.5869785024439214,0.3877155240883547,0.4216412233004588,0.5213596509913406,0.5214998225243073,0.2388339950289099,0.6477685125806887,0.5158298251898428,0.6275564566074447,0.5402115099697269,0.576222649138653,0.5249351476443836,0.6095204049295003,0.4426283489067014,0.6345377527412867,0.743391491873695,0.5829971255938272,0.4857474999434408,0.4818862981260523,0.3874298626839849,0.4155659688713296,0.41374702252299794,0.30962890911225155,0.53609200625927,0.4626137000903495,0.2754717491827216,0.41166952451219757,0.6778958299687597,0.6226412294363197,0.7046870451977705,0.3590076145624952,0.27797179611329587,0.26323783667155615,0.7168778878964759,0.6084777334743523,0.6800440576309402,0.5799636769402884,0.44073789282839787,0.1297855987923201,0.3330125743487593,0.40641524031052834,0.594399848212171,0.6648119504080239
LINK-USD,0.6105991282079333,0.6806223757914768,0.5552235475611377,0.493955348449961,0.5907552714942387,0.3439439879947444,0.5780904256192493,0.54586710768094,0.6450002691529815,1.0,0.5926792761122223,0.5506869584610414,0.6326799805318506,0.6666924644989201,0.39273087502042137,0.6240149123607368,0.606438448972751,0.49030819762109273,0.4679924666710957,0.4943238961528897,0.4196958074782323,0.6456032028796147,0.6570550524714369,0.5238599451234524,0.558449770209028,0.6729911409106003,0.4181739765801429,0.4348318617244362,0.473746827554665,0.5952558598086023,0.6586115777855371,0.5184822212265231,0.5693884674311066,0.4964688712862509,0.5214260785651872,0.5541814915156923,0.5066938687925676,0.5232237035624618,0.48248424116479643,0.2854868211897788,0.5602091773964489,0.3327230162217135,0.7106214679746407,0.5230977939127885,0.4846522208166753,0.3343456965784546,0.34825630207637276,0.6174904637005391,0.5868508564526168,0.603645462597516,0.6131704992306289,0.6673249597480164,0.3759607100864185,0.47353857508807995,0.43812109659582554,0.5867014829513383,0.5174255402681192,0.600768449552271,0.3167203804132172,0.353590975214047,0.545019987336793,0.5516980090616566,0.3111760940718809,0.5944403189178229,0.19965621414896015,0.4895320065678871,0.2909648178148652,0.42186848862065773,0.6673947453525547,0.5624251430875835,0.3793035701565933,0.29743117828443244,0.5022712653614839,0.620540406752422,0.5354776105029875,0.6082907341855549,0.47452951627031215,0.38794065051825116,0.526888112821721,0.22516428628639154,0.48257616747322024,0.40329869842073846,0.4578048942497215,0.5911525567701967,0.42501268496516104,0.5594240408414015,0.5151385185837125,0.5193430642204299,0.2909406297433676,0.3992992764547908,0.5511553809292992,0.3174911124302033,0.3917620615922214,0.4632017444677455,0.47291518755469697,0.1500377156487651,0.6053812159599885,0.5083925995952313,0.5917951878525813,0.4574505184778235,0.5036178711169064,0.4500163812422889,0.5663536704043873,0.36869771081271857,0.5362149137418002,0.6059286749389018,0.5659686813663517,0.492928520100454,0.3415191947883613,0.39092121117893885,0.32198536189554816,0.36160667331521423,0.30049049282068313,0.5371958182909566,0.42385261515852446,0.24629013699588406,0.3360186605377546,0.5716904344302642,0.5621401478411662,0.633620556486904,0.32799208455585926,0.2583984555426451,0.23420027174555885,0.5672831985458975,0.5417475459070703,0.5037679787912142,0.4647699496823754,0.38777922744389215,0.19943680529728156,0.285514920637426,0.3882017476813111,0.5033995024335833,0.5426384749308766
